#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
P93127,PDT001186439.1,Sierra Leone: Freetown,GCA_020990485.1,2018,clinical,Homo sapiens,"aac(6')-Ib3=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,arr-2=COMPLETE,blaIMP-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-129=COMPLETE,blaOXA-486=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,cmlA5=COMPLETE,crpP=PARTIAL,dfrB5=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(A)=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
14ARS-JLM0062,PDT000424280.1,,GCA_021710055.1,,,,"aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-1=COMPLETE,blaOXA-395=COMPLETE,blaPDC-36=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(A)=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
PASGNDM699,PDT000204823.1,Singapore,GCA_002104595.1,11/04/2015,clinical,Homo sapiens,"aac(3)-Id=COMPLETE,aac(6')-Il=COMPLETE,aadA11=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaNDM-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,ble=PARTIAL,catB7=COMPLETE,crpP=COMPLETE,dfrB5=COMPLETE,floR=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,msr(E)=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul2=COMPLETE",
PASGNDM345,PDT000204824.1,Singapore,GCA_002104615.1,02/05/2015,clinical,Homo sapiens,"aac(3)-Id=COMPLETE,aac(6')-Il=COMPLETE,aadA11=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaNDM-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,ble=PARTIAL,catB7=COMPLETE,crpP=COMPLETE,dfrB5=COMPLETE,floR=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,msr(E)=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul2=COMPLETE",
PASGNDM591,PDT000208914.1,Singapore,GCA_002134965.1,09/10/2015,clinical,Homo sapiens,"aac(3)-Id=COMPLETE,aac(6')-Il=COMPLETE,aadA11=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaNDM-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,ble=PARTIAL,catB7=COMPLETE,crpP=COMPLETE,dfrB5=COMPLETE,floR=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,msr(E)=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul2=COMPLETE",
,PDT001280614.1,USA,GCA_022881455.1,2021,clinical,Homo sapiens,"aadA6=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,aph(3')-VIa=COMPLETE,blaNDM-1=COMPLETE,blaNDM=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaPME-1=COMPLETE,blaPME=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE,tet(G)=COMPLETE",
AUSMDU00012511,PDT001087628.1,Australia,GCA_021656975.1,2018,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexX=PARTIAL_END_OF_CONTIG,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
CriePir191,PDT001100340.1,Russia: Moscow,GCA_019430125.1,2017,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,aph(6)-Id=MISTRANSLATION,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=PARTIAL,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
,PDT001221913.1,Singapore,GCA_021590325.1,2013,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
,PDT001221919.1,Singapore,GCA_021590165.1,2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
,PDT001221936.1,Singapore,GCA_021589885.1,2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
,PDT001221985.1,Singapore,GCA_021588905.1,2012,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
,PDT001221987.1,Singapore,GCA_021588865.1,2019,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
,PDT001221996.1,Singapore,GCA_021588705.1,2011,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
14DB066156,PDT001222121.1,Singapore,GCA_021585835.1,2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
14DB066157,PDT001222175.1,Singapore,GCA_021584875.1,2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
14DM017832,PDT001222199.1,Singapore,GCA_021584815.1,2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
AR444,PDT000311289.1,,GCA_003073615.1,,clinical,,"aac(3)=HMM,aac(6')-Il=COMPLETE,aadA2=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaOXA-4=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,dfrB5=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL,tet(G)=COMPLETE","amikacin=R,aztreonam=I,cefepime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,gentamicin=R,imipenem=R,levofloxacin=R,meropenem=R,piperacillin-tazobactam=R,polymyxin B=S,tobramycin=R"
PABL090,PDT000366736.2,"USA: Chicago, Illinois",GCA_003410505.2,2002-02,clinical,Homo sapiens,"aac(3)-Id=COMPLETE,aac(6')-Il=COMPLETE,aadA2=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaOXA-4=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cmlA6=COMPLETE,crpP=COMPLETE,dfrB5=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
YTSS9,PDT001113299.1,China: Changsha,GCA_019686195.1,,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-Ia=COMPLETE,armA=COMPLETE,arr-2=COMPLETE,blaIMP-45=COMPLETE,blaOXA-1=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB3=COMPLETE,catB7=COMPLETE,dfrA47=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(E)=COMPLETE,msr(E)=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE,tmexC=COMPLETE,tmexD3=COMPLETE,toprJ1=COMPLETE",
YTSS7,PDT001113302.1,China: Changsha,GCA_019686265.1,,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-Ia=COMPLETE,armA=COMPLETE,arr-2=COMPLETE,blaIMP-45=COMPLETE,blaOXA-1=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB3=COMPLETE,catB7=COMPLETE,dfrA47=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(E)=COMPLETE,msr(E)=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE,tmexC=COMPLETE,tmexD3=COMPLETE,toprJ1=COMPLETE",
,PDT001222018.1,Singapore,GCA_021588225.1,2008,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-10=COMPLETE,blaOXA-846=COMPLETE,blaPDC-11=COMPLETE,blaVEB-9=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,dfrB2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(A)=COMPLETE",
AR_0103,PDT000167132.1,,GCA_001874795.1,,clinical,,"aac(6')-Ib4=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VI=COMPLETE,aph(6)-Id=COMPLETE,blaIMP-1=COMPLETE,blaIMP=COMPLETE,blaIMP=PARTIAL,blaOXA-396=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(A)=COMPLETE,tet(G)=COMPLETE","amikacin=I,aztreonam=I,cefepime=R,cefotaxime=ND,ceftazidime=R,ceftriaxone=ND,ciprofloxacin=R,colistin=S,doripenem=R,ertapenem=ND,gentamicin=R,imipenem=R,levofloxacin=R,meropenem=R,piperacillin-tazobactam=S,polymyxin B=S,tobramycin=R"
13ARS_STU0044,PDT000424241.1,,GCA_021710615.1,,,,"aac(6')-Ib3=COMPLETE,aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-10=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaVIM-2=COMPLETE,catB3=COMPLETE,catB7=COMPLETE,cmlA1=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tmexC3=COMPLETE,tmexD3=COMPLETE,toprJ1=COMPLETE",
13ARS_VSM0627,PDT000424262.1,,GCA_021709655.1,,,,"aac(6')-Ib3=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-2=COMPLETE,blaOXA-10=COMPLETE,blaOXA-395=COMPLETE,blaPDC-16=COMPLETE,blaVIM-2=COMPLETE,catB3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,dfrA47=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE,tet(C)=COMPLETE,tmexC=COMPLETE,tmexD=COMPLETE,toprJ1=COMPLETE",
14ARS-DMC0127,PDT000424271.1,,GCA_021710135.1,,,,"aadA1=COMPLETE,aadA2=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VIa=COMPLETE,aph(3')=HMM,aph(6)-Id=COMPLETE,arr-2=COMPLETE,blaOXA-846=COMPLETE,blaOXA=COMPLETE,blaPDC-11=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,qnrVC1=COMPLETE,sul1=COMPLETE,tmexC3=COMPLETE,tmexD3=COMPLETE,toprJ1=COMPLETE",
VNMU148,PDT000665263.1,Ukraine,GCA_009887705.1,27/02/2018,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-IIb=COMPLETE,aph(3')-VIa=COMPLETE,aph(3')-VIb=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaIMP=PARTIAL_END_OF_CONTIG,blaOXA-10=COMPLETE,blaOXA-50=COMPLETE,blaPDC-98=COMPLETE,blaPER-4=COMPLETE,blaVEB-9=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=PARTIAL,dfrB2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE",
2018HL-00535,PDT000899029.1,USA,GCA_021666455.1,2018,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
2018HL-00584,PDT000899085.1,USA,GCA_021666255.1,2018,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
2018HL-00580,PDT000899089.1,USA,GCA_021666195.1,2018,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=PARTIAL,parC_S87L=POINT,sul1=COMPLETE",
2019HL-00627,PDT000899123.1,USA,GCA_021666055.1,2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,blaVIM=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
2019HL-00678,PDT000899446.1,USA,GCA_021665715.1,2019,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
Pseudomonas_aeruginosa_2021CK-01338,PDT001132253.1,USA,GCA_021645245.1,,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=PARTIAL,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001157487.3,USA,GCA_021645045.1,01/01/2021,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aac(6')-IIc=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,aph(6)-Id=PARTIAL,blaOXA-17=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001171795.2,USA,GCA_021642385.1,19/08/2021,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,crpP=PARTIAL,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001173095.1,USA,GCA_021642165.1,2020,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,crpP=PARTIAL,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001196960.1,Netherlands,GCA_021610425.1,01/05/2019,clinical,Homo sapiens,"aac(6')-29=PARTIAL_END_OF_CONTIG,aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aac(6')-Ib4=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaIMP-13=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211637.1,Belgium: Jette,GCA_021593905.1,23/03/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211643.1,Belgium: Jette,GCA_021593805.1,09/04/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211661.1,Belgium: Jette,GCA_021593485.1,26/01/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211673.1,Belgium: Jette,GCA_021593285.1,16/12/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211674.1,Belgium: Jette,GCA_021593265.1,09/10/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211695.1,Belgium: Jette,GCA_021592885.1,22/07/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT001211696.1,Belgium: Jette,GCA_021592865.1,22/06/2019,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
